order_id,order_date,customer_id,customer_name,customer_type,city,occasion,channel,payment_method,product_category,product_name,quantity,unit_price_inr,gross_revenue_inr,discount_pct,discount_amt_inr,net_revenue_inr,cogs_inr,delivery_cost_inr,marketing_cost_inr,workforce_cost_inr,spoilage_cost_inr,total_cost_inr,profit_loss_inr,delivery_time_mins,delivery_status,customer_rating,complaint_type,workforce_assigned,is_repeat_customer
BKG-10585,2023-01-03 18:26:00,CUST09429,Amit Verma,New,Hyderabad,Birthday,App,UPI,Pastries,Blueberry Muffin,1,585.34,585.34,0.07,40.97,544.37,291.62,324.38,266.64,225.63,8.74,1117.01,-572.64,40,Returned,1.2,Damaged Packaging,1,0
BKG-10867,2023-01-04 05:09:00,CUST01564,Aditya Sharma,Returning,Hyderabad,Wedding,Website,Debit Card,Custom Cakes,Choco Truffle Fondant,2,1371.45,2742.9,0.049,134.4,2608.5,1526.67,174.82,90.74,135.91,80.1,2008.24,600.26,67,Delivered,3.1,Missing Item,1,1
BKG-10021,2023-01-04 06:19:00,CUST08167,Vikram Iyer,New,Mumbai,Anniversary,App,Credit Card,Custom Cakes,Vanilla Dream Custom,1,2142.94,2142.94,0.116,248.58,1894.36,1272.72,253.25,259.05,193.56,30.97,2009.55,-115.19,58,Delivered,4.5,Quality Issue,3,0
BKG-10748,2023-01-04 11:50:00,CUST01840,Shreya Iyer,Returning,Delhi,Anniversary,Phone,Credit Card,Custom Cakes,Choco Truffle Fondant,2,2803.95,5607.9,0.033,185.06,5422.84,3353.8,180.13,88.95,192.04,839.0,4653.92,768.92,74,Delivered,4.3,Missing Item,1,1
BKG-10082,2023-01-04 13:01:00,CUST00131,Rahul Patel,Returning,Delhi,Wedding,App,Wallet,Custom Cakes,Butterscotch Custom,1,2792.82,2792.82,0.169,471.99,2320.83,1651.11,178.02,80.83,255.28,201.31,2366.55,-45.72,45,Delivered,4.2,No Complaint,2,1
BKG-10903,2023-01-05 01:29:00,CUST01775,Shreya Iyer,Returning,Hyderabad,Birthday,App,Wallet,Custom Cakes,Red Velvet Custom,2,2006.46,4012.92,0.049,196.63,3816.29,2388.67,421.05,147.25,120.77,450.58,3528.32,287.97,75,Delivered,4.5,Late Delivery,1,1
BKG-10339,2023-01-05 10:44:00,CUST01764,Rohan Joshi,Returning,Pune,Casual / No Occasion,App,UPI,Designer Cakes,Geode Crystal Cake,3,3334.23,10002.69,0.163,1630.44,8372.25,5987.05,318.44,140.34,187.48,1424.5,8057.81,314.44,52,Delivered,4.7,Missing Item,1,1
BKG-10922,2023-01-05 13:04:00,CUST07745,Nikhil Kumar,New,Kolkata,Festival,App,Credit Card,Cookies & Bars,Choco Chip Cookies,5,186.04,930.2,0.208,193.48,736.72,407.46,296.41,299.17,217.41,24.08,1244.53,-507.81,82,Delivered,3.5,Late Delivery,1,0
BKG-10261,2023-01-05 16:37:00,CUST04845,Vikram Sharma,New,Hyderabad,Birthday,Phone,UPI,Custom Cakes,Mango Mousse Custom,3,1939.57,5818.71,0.161,936.81,4881.9,3279.77,430.19,232.79,212.55,987.33,5142.63,-260.73,68,Delivered,3.4,No Complaint,1,0
BKG-10718,2023-01-06 10:29:00,CUST03391,Nikhil Sharma,New,Delhi,Wedding,App,Credit Card,Custom Cakes,Black Forest Custom,1,1700.55,1700.55,0.097,164.95,1535.6,1021.16,287.84,262.87,145.64,35.2,1752.71,-217.11,45,Delivered,4.1,Late Delivery,3,0
BKG-11148,2023-01-07 00:43:00,CUST07868,Rajan Reddy,New,Pune,Birthday,Website,UPI,Custom Cakes,Mango Mousse Custom,3,1124.39,3373.17,0.079,266.48,3106.69,2052.07,377.53,366.3,205.95,313.65,3315.5,-208.81,74,Delivered,4.0,Late Delivery,2,0
BKG-10416,2023-01-07 23:54:00,CUST03112,Karan Das,New,Chennai,Casual / No Occasion,Website,UPI,Custom Cakes,Choco Truffle Fondant,1,888.67,888.67,0.095,84.42,804.25,571.03,241.73,349.48,191.46,88.32,1442.02,-637.77,93,Delivered,3.1,Wrong Product Delivered,3,0
BKG-10958,2023-01-08 06:32:00,CUST01764,Sneha Iyer,Returning,Bangalore,Anniversary,Website,Credit Card,Pastries,Croissant Almond,3,384.47,1153.41,0.077,88.81,1064.6,673.13,214.53,127.81,161.54,258.34,1435.35,-370.75,97,Delivered,3.4,Wrong Product Delivered,2,1
BKG-11057,2023-01-08 13:20:00,CUST01026,Sneha Das,Returning,Mumbai,Birthday,App,UPI,Custom Cakes,Choco Truffle Fondant,4,2260.76,9043.04,0.124,1121.34,7921.7,5208.28,368.1,93.39,171.81,1563.04,7404.62,517.08,60,Delivered,3.8,Quality Issue,1,1
BKG-11040,2023-01-08 17:02:00,CUST07197,Pooja Sharma,New,Chennai,Corporate,App,Credit Card,Pastries,Lemon Tart,2,410.12,820.24,0.139,114.01,706.23,447.42,154.82,371.99,229.27,110.53,1314.03,-607.8,73,Delivered,2.8,Damaged Packaging,3,0
BKG-10008,2023-01-08 23:09:00,CUST04792,Vikram Gupta,New,Mumbai,Corporate,Phone,Cash on Delivery,Photo Cakes,Graduation Photo Cake,1,1569.79,1569.79,0.085,133.43,1436.36,883.19,364.9,368.1,125.74,17.69,1759.62,-323.26,112,Delivered,3.3,No Complaint,1,0
BKG-10551,2023-01-10 01:12:00,CUST03921,Priya Mishra,New,Kolkata,Festival,App,Credit Card,Cookies & Bars,Almond Biscotti,1,411.9,411.9,0.14,57.67,354.23,177.58,138.86,204.65,263.6,18.91,803.6,-449.37,82,Delivered,3.6,Missing Item,1,0
BKG-10727,2023-01-10 06:40:00,CUST01824,Rahul Gupta,Returning,Pune,Corporate,Website,Credit Card,Photo Cakes,Graduation Photo Cake,2,988.83,1977.66,0.132,261.05,1716.61,1034.61,194.36,99.75,234.58,29.51,1592.81,123.8,46,Delivered,3.5,Late Delivery,3,1
BKG-11044,2023-01-10 12:06:00,CUST09440,Arjun Agarwal,New,Bangalore,Birthday,App,UPI,Photo Cakes,Birthday Photo Cake,2,1002.35,2004.7,0.033,66.16,1938.54,1259.36,211.28,253.22,230.93,179.96,2134.75,-196.21,57,Delivered,3.9,Late Delivery,2,0
BKG-10999,2023-01-10 14:21:00,CUST03214,Suresh Mehta,New,Delhi,Corporate,Phone,Cash on Delivery,Pastries,Chocolate Eclair,5,583.43,2917.15,0.03,87.51,2829.64,1668.38,158.42,279.28,207.27,588.37,2901.72,-72.08,84,Delivered,4.4,No Complaint,1,0
BKG-10125,2023-01-10 16:40:00,CUST00488,Aditya Kumar,Returning,Delhi,Baby Shower,Website,Cash on Delivery,Cupcakes,Chocolate Fudge Cupcakes,4,530.96,2123.84,0.1,212.38,1911.46,1041.69,379.97,86.19,194.35,234.15,1936.35,-24.89,40,Delivered,4.8,No Complaint,1,1
BKG-10781,2023-01-10 18:05:00,CUST04534,Vikram Verma,New,Hyderabad,Corporate,In-Store,UPI,Photo Cakes,Anniversary Photo Cake,1,1371.85,1371.85,0.177,242.82,1129.03,726.94,224.39,338.55,158.77,64.68,1513.33,-384.3,77,Delivered,3.2,Wrong Product Delivered,1,0
BKG-10995,2023-01-11 04:43:00,CUST00393,Rahul Gupta,Returning,Delhi,Birthday,Website,Debit Card,Pastries,Blueberry Muffin,1,314.96,314.96,0.143,45.04,269.92,162.7,372.5,71.84,194.63,52.65,854.32,-584.4,61,Delivered,3.9,Incorrect Customization,1,1
BKG-10862,2023-01-11 17:48:00,CUST00677,Rahul Bose,Returning,Kolkata,Birthday,Phone,Credit Card,Photo Cakes,Baby Shower Photo Cake,2,668.37,1336.74,0.191,255.32,1081.42,664.57,228.77,81.65,192.38,53.21,1220.58,-139.16,106,Delivered,1.6,Damaged Packaging,1,1
BKG-10712,2023-01-12 18:26:00,CUST07439,Priya Kumar,New,Delhi,Festival,In-Store,Net Banking,Photo Cakes,Graduation Photo Cake,2,1804.79,3609.58,0.061,220.18,3389.4,2165.07,311.2,384.62,201.46,466.88,3529.23,-139.83,38,Delivered,4.6,Quality Issue,1,0
BKG-10851,2023-01-13 01:54:00,CUST02945,Ananya Das,New,Delhi,Valentine's Day,In-Store,Wallet,Cookies & Bars,Oreo Brownies,1,394.16,394.16,0.104,40.99,353.17,192.76,257.6,222.99,139.52,44.8,857.67,-504.5,60,Delivered,4.0,Incorrect Customization,3,0
BKG-10654,2023-01-13 04:30:00,CUST03999,Ananya Reddy,New,Bangalore,Birthday,App,Debit Card,Custom Cakes,Vanilla Dream Custom,1,2050.41,2050.41,0.019,38.96,2011.45,1235.98,391.25,204.4,183.68,340.51,2355.82,-344.37,67,Delivered,3.5,Wrong Product Delivered,1,0
BKG-11190,2023-01-13 04:46:00,CUST00570,Amit Patel,Returning,Jaipur,Birthday,App,Credit Card,Pastries,Lemon Tart,1,500.58,500.58,0.13,65.08,435.5,239.85,167.56,88.41,233.39,48.12,777.33,-341.83,65,Delivered,3.4,No Complaint,2,1
BKG-10508,2023-01-13 16:13:00,CUST09413,Simran Sharma,New,Mumbai,Casual / No Occasion,App,Credit Card,Photo Cakes,Graduation Photo Cake,2,1244.41,2488.82,0.028,69.69,2419.13,1409.23,285.85,159.04,244.69,317.29,2416.1,3.03,96,Delivered,1.6,No Complaint,1,0
BKG-11037,2023-01-13 19:45:00,CUST04267,Nikhil Mishra,New,Pune,Casual / No Occasion,App,Debit Card,Photo Cakes,Birthday Photo Cake,3,1044.17,3132.51,0.196,613.97,2518.54,1551.35,357.0,382.27,128.34,418.11,2837.07,-318.53,37,Cancelled,2.1,No Complaint,1,0
BKG-10793,2023-01-13 21:13:00,CUST07105,Rajan Iyer,New,Kolkata,Baby Shower,Website,UPI,Custom Cakes,Butterscotch Custom,2,1444.08,2888.16,0.188,542.97,2345.19,1668.31,320.36,153.11,182.68,77.54,2402.0,-56.81,72,Delivered,3.1,Damaged Packaging,3,0
BKG-10601,2023-01-14 08:28:00,CUST09783,Vikram Gupta,New,Bangalore,Birthday,Phone,Cash on Delivery,Photo Cakes,Anniversary Photo Cake,2,743.09,1486.18,0.184,273.46,1212.72,749.75,154.09,293.47,246.3,48.46,1492.07,-279.35,71,Delivered,3.7,No Complaint,1,0
BKG-10833,2023-01-15 04:27:00,CUST05575,Simran Das,New,Bangalore,Casual / No Occasion,Website,UPI,Pastries,Lemon Tart,2,413.31,826.62,0.019,15.71,810.91,458.77,286.19,253.87,189.68,18.97,1207.48,-396.57,78,Delivered,3.0,Wrong Product Delivered,1,0
BKG-10905,2023-01-15 08:55:00,CUST00515,Ananya Das,Returning,Bangalore,Baby Shower,Phone,UPI,Photo Cakes,Graduation Photo Cake,1,1207.78,1207.78,0.091,109.91,1097.87,718.2,269.14,109.86,228.3,68.88,1394.38,-296.51,86,Delivered,3.4,Late Delivery,3,1
BKG-10580,2023-01-15 10:11:00,CUST01712,Aditya Das,Returning,Bangalore,Anniversary,Phone,UPI,Designer Cakes,Vintage Ruffles Cake,1,1850.53,1850.53,0.125,231.32,1619.21,1088.83,171.59,89.26,178.19,351.26,1879.13,-259.92,98,Delivered,3.2,Incorrect Customization,3,1
BKG-10993,2023-01-15 21:11:00,CUST01738,Vikram Singh,Returning,Mumbai,Festival,Website,UPI,Custom Cakes,Red Velvet Custom,4,892.29,3569.16,0.062,221.29,3347.87,2133.15,183.14,111.9,141.07,570.25,3139.51,208.36,41,Delivered,4.8,Missing Item,2,1
BKG-10320,2023-01-16 04:23:00,CUST00115,Amit Sharma,Returning,Mumbai,Birthday,Website,UPI,Designer Cakes,Galaxy Mirror Glaze,1,1893.21,1893.21,0.075,141.99,1751.22,1204.16,378.3,85.81,144.94,347.2,2160.41,-409.19,61,Cancelled,2.1,Missing Item,2,1
BKG-11126,2023-01-17 07:32:00,CUST06613,Rahul Mishra,New,Delhi,Birthday,App,UPI,Designer Cakes,Floral Bouquet Cake,1,2379.3,2379.3,0.038,90.41,2288.89,1699.12,234.26,264.89,237.54,300.16,2735.97,-447.08,70,Delivered,4.3,Damaged Packaging,1,0
BKG-10841,2023-01-17 10:14:00,CUST02889,Aditya Singh,New,Delhi,Festival,Website,Debit Card,Custom Cakes,Choco Truffle Fondant,1,1820.01,1820.01,0.01,18.2,1801.81,1064.92,316.41,226.69,155.78,38.23,1802.03,-0.22,56,Delivered,4.1,No Complaint,1,0
BKG-10791,2023-01-18 22:35:00,CUST08947,Simran Gupta,New,Delhi,Birthday,App,Credit Card,Photo Cakes,Anniversary Photo Cake,5,833.04,4165.2,0.035,145.78,4019.42,2771.08,371.12,238.5,120.23,250.56,3751.49,267.93,53,Delivered,4.0,No Complaint,2,0
BKG-10386,2023-01-19 10:44:00,CUST02671,Meera Bose,New,Bangalore,Wedding,In-Store,UPI,Custom Cakes,Butterscotch Custom,1,2318.51,2318.51,0.05,115.93,2202.58,1420.62,306.79,333.27,267.4,196.9,2524.98,-322.4,48,Returned,1.2,Late Delivery,1,0
BKG-10032,2023-01-19 20:12:00,CUST00055,Nikhil Mehta,Returning,Kolkata,Anniversary,App,Debit Card,Custom Cakes,Vanilla Dream Custom,1,1880.06,1880.06,0.18,338.41,1541.65,975.49,176.82,98.2,188.9,322.16,1761.57,-219.92,44,Delivered,3.9,Late Delivery,1,1
BKG-11049,2023-01-20 03:56:00,CUST04163,Ananya Singh,New,Mumbai,Valentine's Day,App,Credit Card,Custom Cakes,Choco Truffle Fondant,1,2715.16,2715.16,0.038,103.18,2611.98,1620.47,298.44,276.9,212.44,283.15,2691.4,-79.42,57,Delivered,4.9,Quality Issue,2,0
BKG-10715,2023-01-21 08:04:00,CUST02695,Ananya Bose,New,Hyderabad,Anniversary,Phone,UPI,Cookies & Bars,Choco Chip Cookies,2,358.97,717.94,0.097,69.64,648.3,307.22,363.82,218.03,210.4,15.52,1114.99,-466.69,61,Delivered,3.8,Late Delivery,2,0
BKG-11138,2023-01-23 05:04:00,CUST04591,Divya Singh,New,Delhi,Festival,App,Debit Card,Custom Cakes,Butterscotch Custom,4,1670.18,6680.72,0.18,1202.53,5478.19,3796.65,232.73,359.42,169.42,449.21,5007.43,470.76,48,Returned,1.3,Damaged Packaging,1,0
BKG-10731,2023-01-24 09:41:00,CUST01814,Suresh Kumar,Returning,Jaipur,Birthday,Website,Cash on Delivery,Hampers & Combos,Birthday Combo Box,1,3895.82,3895.82,0.142,553.21,3342.61,2639.18,228.96,83.35,175.96,385.51,3512.96,-170.35,128,Delivered,1.8,Quality Issue,2,1
BKG-10040,2023-01-25 01:18:00,CUST03864,Divya Mehta,New,Delhi,Casual / No Occasion,App,Credit Card,Designer Cakes,Unicorn Cake,1,4553.33,4553.33,0.076,346.05,4207.28,2986.49,244.91,276.06,242.3,264.79,4014.55,192.73,42,Delivered,4.5,Late Delivery,1,0
BKG-10703,2023-01-25 17:38:00,CUST02766,Divya Verma,New,Hyderabad,Baby Shower,App,UPI,Designer Cakes,Tier Wedding Cake,4,4364.11,17456.44,0.034,593.52,16862.92,12027.02,193.23,312.64,182.38,2792.96,15508.23,1354.69,41,Delivered,4.9,No Complaint,1,0
BKG-11032,2023-01-25 21:05:00,CUST03072,Sneha Nair,New,Kolkata,Baby Shower,App,UPI,Cupcakes,Red Velvet Cupcake Box,1,396.02,396.02,0.116,45.94,350.08,186.34,307.01,184.83,134.04,19.41,831.63,-481.55,57,Cancelled,2.1,Missing Item,1,0
BKG-10664,2023-01-26 00:08:00,CUST03593,Nisha Joshi,New,Pune,Birthday,App,Credit Card,Photo Cakes,Graduation Photo Cake,1,1667.52,1667.52,0.03,50.03,1617.49,980.2,222.17,372.63,188.26,288.41,2051.67,-434.18,46,Delivered,4.0,Late Delivery,1,0
BKG-10785,2023-01-26 16:55:00,CUST09374,Shreya Bose,New,Pune,Corporate,In-Store,Credit Card,Custom Cakes,Vanilla Dream Custom,1,2225.28,2225.28,0.135,300.41,1924.87,1133.39,180.61,394.72,231.74,375.91,2316.37,-391.5,70,Delivered,2.6,No Complaint,2,0
BKG-10996,2023-01-27 07:55:00,CUST03045,Priya Joshi,New,Bangalore,Anniversary,App,Wallet,Designer Cakes,Geode Crystal Cake,1,3262.84,3262.84,0.019,61.99,3200.85,2244.04,417.63,204.04,205.59,463.99,3535.29,-334.44,70,Delivered,4.1,No Complaint,3,0
BKG-10695,2023-01-27 16:48:00,CUST03841,Rahul Nair,New,Hyderabad,Anniversary,Website,UPI,Custom Cakes,Black Forest Custom,1,3171.1,3171.1,0.003,9.51,3161.59,2002.57,126.99,223.91,271.95,167.35,2792.77,368.82,31,Delivered,3.9,Quality Issue,3,0
BKG-10118,2023-01-27 20:39:00,CUST06021,Kavya Joshi,New,Bangalore,Anniversary,Website,Cash on Delivery,Cupcakes,Vanilla Rainbow Cupcakes,1,624.61,624.61,0.096,59.96,564.65,294.66,228.2,370.85,226.13,44.86,1164.7,-600.05,64,Delivered,4.4,Incorrect Customization,2,0
BKG-10921,2023-01-28 15:21:00,CUST02886,Karan Agarwal,New,Mumbai,Baby Shower,Website,Credit Card,Pastries,Opera Pastry,1,263.42,263.42,0.089,23.44,239.98,141.98,344.14,272.58,137.66,39.33,935.69,-695.71,53,Delivered,4.3,Late Delivery,2,0
BKG-10279,2023-01-28 21:15:00,CUST08329,Pooja Agarwal,New,Delhi,Birthday,App,Debit Card,Cookies & Bars,Oatmeal Raisin Cookies,1,265.98,265.98,0.144,38.3,227.68,109.91,145.93,357.81,269.09,8.07,890.81,-663.13,76,Delivered,3.9,Quality Issue,1,0
BKG-10223,2023-01-28 22:58:00,CUST08012,Pooja Mehta,New,Delhi,Anniversary,Website,UPI,Designer Cakes,Geode Crystal Cake,2,3862.34,7724.68,0.069,533.0,7191.68,4976.19,473.92,379.48,168.14,1515.09,7512.82,-321.14,55,Delivered,3.7,Damaged Packaging,2,0
BKG-11018,2023-01-29 00:10:00,CUST00192,Vikram Verma,Returning,Hyderabad,Valentine's Day,In-Store,UPI,Cookies & Bars,Almond Biscotti,1,246.14,246.14,0.085,20.92,225.22,113.82,294.22,134.35,136.37,17.45,696.21,-470.99,72,Delivered,4.0,Missing Item,1,1
BKG-10645,2023-01-29 11:25:00,CUST09049,Simran Bose,New,Bangalore,Corporate,Website,Net Banking,Photo Cakes,Baby Shower Photo Cake,1,1654.4,1654.4,0.038,62.87,1591.53,919.26,226.3,225.8,165.91,218.6,1755.87,-164.34,69,Delivered,3.4,No Complaint,2,0
BKG-10232,2023-01-29 23:04:00,CUST07795,Shreya Kumar,New,Mumbai,Birthday,Phone,UPI,Custom Cakes,Vanilla Dream Custom,1,3405.63,3405.63,0.009,30.65,3374.98,2316.36,363.63,180.15,198.54,306.43,3365.11,9.87,47,Delivered,4.0,No Complaint,2,0
BKG-10985,2023-01-30 18:19:00,CUST01649,Rajan Sharma,Returning,Bangalore,Casual / No Occasion,Website,UPI,Photo Cakes,Baby Shower Photo Cake,1,1732.81,1732.81,0.063,109.17,1623.64,1012.3,152.52,128.76,184.59,135.84,1614.01,9.63,55,Cancelled,1.4,Quality Issue,2,1
BKG-11124,2023-01-30 23:49:00,CUST02820,Nikhil Singh,New,Kolkata,Birthday,App,Credit Card,Designer Cakes,Tier Wedding Cake,1,2460.67,2460.67,0.151,371.56,2089.11,1577.59,257.56,380.59,206.36,111.11,2533.21,-444.1,92,Delivered,2.0,Quality Issue,2,0
BKG-10914,2023-01-31 03:34:00,CUST03823,Vikram Sharma,New,Delhi,Baby Shower,Phone,Debit Card,Custom Cakes,Mango Mousse Custom,2,1256.46,2512.92,0.017,42.72,2470.2,1665.08,330.83,180.39,244.76,213.24,2634.3,-164.1,60,Delivered,3.5,Missing Item,2,0
BKG-10953,2023-01-31 22:46:00,CUST09998,Vikram Singh,New,Hyderabad,Birthday,Website,UPI,Pastries,Fruit Danish,3,205.57,616.71,0.042,25.9,590.81,355.49,303.65,250.53,224.06,67.53,1201.26,-610.45,40,Delivered,3.5,Wrong Product Delivered,2,0
BKG-10693,2023-02-01 00:53:00,CUST08608,Arjun Mishra,New,Bangalore,Birthday,App,Debit Card,Cupcakes,Vanilla Rainbow Cupcakes,1,662.1,662.1,0.195,129.11,532.99,271.08,323.16,209.24,215.2,60.6,1079.28,-546.29,82,Delivered,3.2,No Complaint,1,0
BKG-10246,2023-02-01 13:56:00,CUST01094,Suresh Gupta,Returning,Hyderabad,Wedding,Website,Debit Card,Photo Cakes,Wedding Photo Cake,1,1382.56,1382.56,0.087,120.28,1262.28,874.21,439.37,97.52,146.05,114.92,1672.07,-409.79,46,Delivered,4.2,No Complaint,2,1
BKG-10477,2023-02-01 16:26:00,CUST09811,Rajan Reddy,New,Delhi,Baby Shower,App,Debit Card,Custom Cakes,Red Velvet Custom,3,2010.94,6032.82,0.167,1007.48,5025.34,3304.16,334.88,160.6,155.04,245.54,4200.22,825.12,72,Delivered,3.1,No Complaint,1,0
BKG-10595,2023-02-03 06:29:00,CUST07893,Sneha Bose,New,Bangalore,Valentine's Day,App,UPI,Photo Cakes,Wedding Photo Cake,2,1009.66,2019.32,0.098,197.89,1821.43,1044.02,183.99,193.55,171.57,60.0,1653.13,168.3,66,Delivered,3.7,Incorrect Customization,3,0
BKG-10950,2023-02-03 08:55:00,CUST08642,Arjun Singh,New,Kolkata,Casual / No Occasion,Website,Debit Card,Pastries,Fruit Danish,1,220.64,220.64,0.088,19.42,201.22,110.69,133.21,380.94,147.74,31.09,803.67,-602.45,73,Delivered,4.3,Quality Issue,1,0
BKG-10299,2023-02-03 10:40:00,CUST00314,Arjun Singh,Returning,Bangalore,Anniversary,In-Store,Cash on Delivery,Cookies & Bars,Oreo Brownies,1,152.32,152.32,0.022,3.35,148.97,71.63,394.69,132.61,135.29,7.8,742.02,-593.05,59,Delivered,3.6,Late Delivery,2,1
BKG-10031,2023-02-04 11:15:00,CUST09982,Sneha Iyer,New,Delhi,Festival,Website,Wallet,Designer Cakes,Geode Crystal Cake,1,2538.74,2538.74,0.197,500.13,2038.61,1420.9,163.15,385.9,125.92,92.47,2188.34,-149.73,62,Delivered,3.1,Damaged Packaging,1,0
BKG-10764,2023-02-04 15:53:00,CUST00448,Rahul Reddy,Returning,Delhi,Wedding,Phone,Credit Card,Custom Cakes,Red Velvet Custom,1,2852.7,2852.7,0.025,71.32,2781.38,1691.34,315.34,145.47,155.55,497.75,2805.45,-24.07,103,Delivered,2.3,Late Delivery,1,1
BKG-10412,2023-02-05 00:47:00,CUST00908,Meera Bose,Returning,Bangalore,Corporate,App,Cash on Delivery,Designer Cakes,Galaxy Mirror Glaze,3,1467.39,4402.17,0.148,651.52,3750.65,2702.69,122.99,125.34,166.87,336.21,3454.1,296.55,69,Delivered,4.0,Damaged Packaging,2,1
BKG-11083,2023-02-05 11:50:00,CUST07472,Kavya Kumar,New,Mumbai,Birthday,App,UPI,Cookies & Bars,Walnut Fudge Bar,1,249.02,249.02,0.087,21.66,227.36,129.2,363.81,336.53,189.0,25.45,1043.99,-816.63,71,Delivered,2.6,No Complaint,2,0
BKG-11093,2023-02-05 15:05:00,CUST00393,Rohan Reddy,Returning,Delhi,Birthday,App,UPI,Designer Cakes,Tier Wedding Cake,1,1637.58,1637.58,0.076,124.46,1513.12,1136.89,368.72,62.06,261.98,84.78,1914.43,-401.31,66,Delivered,2.6,Missing Item,2,1
BKG-11014,2023-02-05 17:21:00,CUST09235,Sneha Gupta,New,Kolkata,Festival,App,Wallet,Photo Cakes,Graduation Photo Cake,1,1091.53,1091.53,0.037,40.39,1051.14,628.97,304.34,313.96,153.52,176.34,1577.13,-525.99,82,Cancelled,1.0,Quality Issue,1,0
BKG-11009,2023-02-05 19:45:00,CUST03222,Sneha Patel,New,Hyderabad,Anniversary,Phone,UPI,Pastries,Croissant Almond,1,577.23,577.23,0.039,22.51,554.72,322.7,399.92,154.36,245.41,20.02,1142.41,-587.69,55,Returned,2.0,Missing Item,3,0
BKG-10176,2023-02-06 09:34:00,CUST08148,Aditya Kumar,New,Kolkata,Anniversary,Website,Cash on Delivery,Custom Cakes,Choco Truffle Fondant,1,3429.51,3429.51,0.165,565.87,2863.64,1837.3,257.59,315.65,132.46,559.79,3102.79,-239.15,90,Delivered,3.5,Incorrect Customization,2,0
BKG-10870,2023-02-07 23:39:00,CUST00162,Pooja Gupta,Returning,Mumbai,Wedding,Website,Credit Card,Pastries,Blueberry Muffin,1,396.19,396.19,0.002,0.79,395.4,226.01,148.56,103.77,206.26,69.48,754.08,-358.68,56,Returned,1.2,No Complaint,1,1
